,IDSV,IDMON,DIEM
227,5.0,31.0,2.65
228,5.0,32.0,3.7
229,5.0,33.0,3.65
230,5.0,34.0,2.55
231,5.0,35.0,2.5
232,5.0,36.0,3.0
233,5.0,37.0,3.0
234,5.0,38.0,2.55
235,5.0,39.0,4.1
236,5.0,40.0,3.7
237,5.0,41.0,2.85
238,6.0,0.0,4.0
239,6.0,1.0,2.5
240,6.0,2.0,3.5
241,6.0,3.0,3.0
242,6.0,4.0,3.5
243,6.0,5.0,5.0
244,6.0,6.0,2.5
245,6.0,7.0,3.65
246,6.0,8.0,4.0
247,6.0,9.0,3.5
248,6.0,10.0,3.5
249,6.0,11.0,3.0
250,6.0,12.0,5.0
251,6.0,13.0,3.0
252,6.0,14.0,2.5
253,6.0,15.0,4.15
254,6.0,17.0,4.4
255,6.0,18.0,4.5
256,6.0,19.0,4.25
257,6.0,20.0,3.75
258,6.0,21.0,3.4
259,6.0,22.0,3.9
260,6.0,23.0,3.55
261,6.0,24.0,3.5
262,6.0,25.0,4.9
263,6.0,26.0,4.2
264,6.0,27.0,4.5
265,6.0,28.0,5.0
266,6.0,29.0,3.75
267,6.0,30.0,2.8
268,6.0,31.0,4.5
269,6.0,32.0,4.65
270,6.0,33.0,3.15
271,6.0,34.0,3.95
272,6.0,35.0,3.3
273,6.0,36.0,3.15
274,6.0,37.0,3.5
275,6.0,38.0,5.0
276,6.0,39.0,4.65
277,6.0,40.0,4.2
278,6.0,41.0,3.3
279,7.0,0.0,4.5
280,7.0,1.0,4.0
281,7.0,2.0,4.5
282,7.0,3.0,3.5
283,7.0,4.0,3.5
284,7.0,5.0,2.5
285,7.0,6.0,2.45
286,7.0,7.0,2.65
287,7.0,8.0,4.0
288,7.0,9.0,3.5
289,7.0,10.0,3.0
290,7.0,11.0,4.0
291,7.0,12.0,4.0
292,7.0,13.0,3.0
293,7.0,14.0,4.1
294,7.0,15.0,3.5
295,7.0,17.0,3.0
296,7.0,18.0,2.75
297,7.0,19.0,3.75
298,7.0,20.0,2.5
299,7.0,21.0,3.0
300,7.0,22.0,4.0
301,7.0,23.0,3.2
302,7.0,24.0,3.7
303,7.0,25.0,4.3
304,7.0,26.0,2.5
305,7.0,27.0,3.75
306,7.0,28.0,3.0
307,7.0,29.0,2.65
308,7.0,30.0,3.85
309,7.0,31.0,2.65
310,7.0,32.0,3.6
311,7.0,33.0,3.5
312,7.0,34.0,2.55
313,7.0,35.0,3.5
314,7.0,36.0,3.4
315,7.0,37.0,4.5
316,7.0,38.0,2.55
317,7.0,39.0,3.2
318,7.0,40.0,3.6
319,7.0,41.0,3.8
320,8.0,0.0,4.0
321,8.0,1.0,3.5
322,8.0,2.0,4.0
323,8.0,3.0,3.0
324,8.0,4.0,3.0
325,8.0,5.0,2.5
326,8.0,6.0,3.0
327,8.0,7.0,3.5
328,8.0,8.0,4.5
329,8.0,9.0,4.0
330,8.0,10.0,3.0
331,8.0,11.0,3.5
332,8.0,12.0,5.0
333,8.0,13.0,3.5
334,8.0,14.0,3.5
335,8.0,15.0,4.15
336,8.0,17.0,3.5
337,8.0,18.0,3.0
338,8.0,19.0,3.0
339,8.0,20.0,3.0
340,8.0,21.0,3.4
341,8.0,22.0,3.25
342,8.0,23.0,3.2
343,8.0,24.0,4.0
344,8.0,25.0,3.8
345,8.0,26.0,3.5
346,8.0,27.0,3.9
347,8.0,28.0,3.9
348,8.0,29.0,3.15
349,8.0,30.0,3.5
350,8.0,31.0,3.0
351,8.0,32.0,4.2
352,8.0,33.0,2.65
353,8.0,34.0,3.2
354,8.0,35.0,3.85
355,8.0,36.0,2.8
356,8.0,37.0,3.4
357,8.0,38.0,4.0
358,8.0,39.0,4.1
359,8.0,40.0,4.05
360,8.0,41.0,2.65
361,9.0,0.0,4.0
362,9.0,1.0,3.0
363,9.0,2.0,3.5
364,9.0,3.0,3.5
365,9.0,4.0,3.5
366,9.0,5.0,3.5
367,9.0,6.0,2.5
368,9.0,7.0,3.0
369,9.0,8.0,4.0
370,9.0,9.0,3.5
371,9.0,10.0,3.5
372,9.0,11.0,3.5
373,9.0,12.0,4.5
374,9.0,13.0,3.0
375,9.0,14.0,4.0
376,9.0,15.0,3.9
377,9.0,17.0,3.9
378,9.0,18.0,3.0
379,9.0,19.0,3.0
380,9.0,20.0,2.5
381,9.0,21.0,3.0
382,9.0,22.0,3.45
383,9.0,23.0,3.2
384,9.0,24.0,3.75
385,9.0,25.0,3.75
386,9.0,26.0,3.25
387,9.0,27.0,3.0
388,9.0,28.0,3.5
389,9.0,29.0,3.25
390,9.0,30.0,2.5
391,9.0,31.0,3.0
392,9.0,32.0,4.3
393,9.0,33.0,2.1
394,9.0,34.0,2.7
395,9.0,35.0,2.65
396,9.0,36.0,3.35
397,9.0,37.0,3.35
398,9.0,38.0,2.65
399,9.0,39.0,3.5
400,9.0,40.0,3.7
401,9.0,41.0,2.6
402,10.0,0.0,4.5
403,10.0,1.0,3.5
404,10.0,2.0,4.0
405,10.0,3.0,3.0
406,10.0,4.0,3.0
407,10.0,5.0,2.5
408,10.0,6.0,2.9
409,10.0,7.0,2.5
410,10.0,8.0,4.5
411,10.0,9.0,4.0
412,10.0,10.0,3.5
413,10.0,11.0,3.0
414,10.0,12.0,4.5
415,10.0,13.0,2.5
416,10.0,14.0,2.5
417,10.0,15.0,4.0
418,10.0,17.0,4.0
419,10.0,18.0,2.9
420,10.0,19.0,3.5
421,10.0,20.0,3.15
422,10.0,21.0,3.4
423,10.0,22.0,4.0
424,10.0,23.0,3.45
425,10.0,24.0,3.8
426,10.0,25.0,3.3
427,10.0,26.0,3.15
428,10.0,27.0,3.65
429,10.0,28.0,3.15
430,10.0,29.0,3.25
431,10.0,30.0,3.5
432,10.0,31.0,3.15
433,10.0,32.0,4.2
434,10.0,33.0,4.0
435,10.0,34.0,2.6
436,10.0,35.0,3.75
437,10.0,36.0,3.1
438,10.0,37.0,3.6
439,10.0,38.0,3.45
440,10.0,39.0,3.9
441,10.0,40.0,3.85
442,10.0,41.0,3.7
443,11.0,0.0,3.5
444,11.0,1.0,3.0
445,11.0,2.0,3.5
446,11.0,3.0,3.5
447,11.0,4.0,3.0
448,11.0,6.0,2.5
449,11.0,7.0,3.0
450,11.0,8.0,4.0
451,11.0,9.0,3.5
452,11.0,10.0,3.0
453,11.0,11.0,3.0
454,11.0,12.0,4.5
455,11.0,13.0,3.0
456,11.0,14.0,3.5
457,11.0,15.0,3.9
458,11.0,17.0,4.15
459,11.0,18.0,3.0
460,11.0,19.0,3.5
461,11.0,20.0,3.8
462,11.0,21.0,3.4
463,11.0,22.0,3.2
464,11.0,23.0,3.45
465,11.0,24.0,3.2
466,11.0,25.0,3.9
467,11.0,26.0,3.5
468,11.0,27.0,2.75
469,11.0,28.0,3.0
470,11.0,29.0,2.9
471,11.0,30.0,2.5
472,11.0,31.0,3.0
473,11.0,32.0,3.7
474,11.0,33.0,3.5
475,11.0,34.0,2.7
476,11.0,35.0,3.1
477,11.0,36.0,3.0
478,11.0,37.0,3.35
479,11.0,38.0,2.8
480,11.0,39.0,3.5
481,11.0,40.0,3.7
482,11.0,41.0,3.7
483,12.0,0.0,3.5
484,12.0,1.0,3.5
485,12.0,2.0,4.0
486,12.0,3.0,3.0
487,12.0,4.0,3.5
488,12.0,6.0,2.55
489,12.0,7.0,2.55
490,12.0,8.0,3.5
491,12.0,9.0,3.5
492,12.0,10.0,3.5
493,12.0,11.0,3.0
494,12.0,12.0,4.5
495,12.0,13.0,3.0
496,12.0,14.0,3.0
497,12.0,15.0,3.65
498,12.0,17.0,4.15
499,12.0,18.0,3.0
500,12.0,19.0,3.0
501,12.0,20.0,3.15
502,12.0,21.0,3.4
503,12.0,22.0,3.5
504,12.0,23.0,3.45
505,12.0,24.0,3.4
506,12.0,25.0,3.55
507,12.0,26.0,3.4
508,12.0,27.0,3.0
509,12.0,28.0,3.65
510,12.0,29.0,2.75
511,12.0,30.0,3.3
512,12.0,31.0,3.0
513,12.0,32.0,4.2
514,12.0,33.0,3.5
515,12.0,34.0,3.45
516,12.0,35.0,2.9
517,12.0,36.0,3.7
518,12.0,37.0,3.5
519,12.0,38.0,2.95
520,12.0,39.0,3.4
521,12.0,40.0,4.1
522,12.0,41.0,3.2
523,13.0,0.0,4.5
524,13.0,1.0,3.5
525,13.0,2.0,5.0
526,13.0,3.0,3.5
527,13.0,4.0,4.0
528,13.0,5.0,4.0
529,13.0,6.0,5.0
530,13.0,7.0,3.5
531,13.0,8.0,4.5
532,13.0,9.0,4.0
533,13.0,10.0,3.0
534,13.0,11.0,3.5
535,13.0,12.0,4.5
536,13.0,13.0,3.5
537,13.0,14.0,3.5
538,13.0,15.0,3.75
539,13.0,17.0,3.65
540,13.0,18.0,4.25
541,13.0,19.0,4.5
542,13.0,20.0,3.25
543,13.0,21.0,3.4
544,13.0,22.0,3.55
545,13.0,23.0,3.3
546,13.0,24.0,3.8
547,13.0,25.0,3.95
548,13.0,26.0,4.0
549,13.0,27.0,4.25
550,13.0,28.0,3.75
551,13.0,29.0,3.5
552,13.0,30.0,2.65
553,13.0,31.0,4.0
554,13.0,32.0,4.3
555,13.0,33.0,4.0
556,13.0,34.0,3.2
557,13.0,35.0,3.85
558,13.0,36.0,3.15
559,13.0,37.0,3.5
560,13.0,38.0,2.7
561,13.0,39.0,3.05
562,13.0,40.0,4.0
563,13.0,41.0,2.85
564,14.0,0.0,4.0
565,14.0,1.0,3.0
566,14.0,2.0,3.5
567,14.0,3.0,3.5
568,14.0,4.0,3.5
569,14.0,5.0,3.0
570,14.0,6.0,2.5
571,14.0,7.0,2.5
572,14.0,8.0,4.5
573,14.0,9.0,3.5
574,14.0,10.0,3.5
575,14.0,11.0,3.0
576,14.0,12.0,4.0
577,14.0,13.0,3.0
578,14.0,14.0,2.5
579,14.0,15.0,3.75
580,14.0,17.0,4.0
581,14.0,18.0,3.0
582,14.0,19.0,3.5
583,14.0,20.0,3.15
584,14.0,21.0,3.4
585,14.0,22.0,3.4
586,14.0,23.0,3.2
587,14.0,24.0,3.7
588,14.0,25.0,3.95
589,14.0,26.0,3.8
590,14.0,27.0,4.0
591,14.0,28.0,3.5
592,14.0,29.0,3.25
593,14.0,30.0,3.15
594,14.0,31.0,3.0
595,14.0,32.0,4.2
596,14.0,33.0,2.65
597,14.0,34.0,3.2
598,14.0,35.0,3.0
599,14.0,36.0,3.15
600,14.0,37.0,3.6
601,14.0,38.0,2.65
602,14.0,39.0,3.55
603,14.0,40.0,3.95
604,14.0,41.0,2.7
605,15.0,0.0,2.5
606,15.0,1.0,3.0
607,15.0,2.0,3.5
608,15.0,3.0,3.0
609,15.0,4.0,2.5
610,15.0,5.0,2.5
611,15.0,6.0,2.5
612,15.0,7.0,3.8
613,15.0,8.0,4.0
614,15.0,9.0,2.65
615,15.0,10.0,1.0
616,15.0,13.0,3.0
617,15.0,14.0,3.15
618,15.0,15.0,3.4
619,15.0,17.0,3.15
620,15.0,20.0,3.8
621,15.0,23.0,3.15
622,15.0,24.0,3.75
623,15.0,25.0,2.65
624,15.0,26.0,2.55
625,15.0,27.0,3.65
626,15.0,29.0,3.5
627,15.0,30.0,2.5
628,15.0,32.0,0.15
629,15.0,33.0,3.5
630,15.0,34.0,1.75
631,15.0,35.0,3.5
632,15.0,36.0,3.7
633,15.0,37.0,3.45
634,15.0,38.0,2.5
635,15.0,39.0,4.1
636,15.0,40.0,2.7
637,15.0,41.0,2.85
638,16.0,0.0,3.0
639,16.0,1.0,2.5
640,16.0,2.0,3.0
641,16.0,3.0,3.0
642,16.0,4.0,2.0
643,16.0,5.0,1.5
644,16.0,6.0,2.5
645,16.0,7.0,1.5
646,16.0,8.0,4.0
647,16.0,9.0,3.5
648,16.0,10.0,2.5
649,16.0,11.0,2.0
650,16.0,12.0,3.5
651,16.0,14.0,3.0
652,16.0,15.0,3.9
653,16.0,17.0,3.4
654,16.0,18.0,2.75
655,16.0,19.0,3.0
656,16.0,20.0,2.5
657,16.0,21.0,3.0
658,16.0,22.0,1.8
659,16.0,23.0,2.7
660,16.0,24.0,3.2
661,16.0,25.0,3.15
662,16.0,26.0,2.5
663,16.0,27.0,2.25
664,16.0,28.0,2.25
665,16.0,32.0,0.45
666,16.0,33.0,2.1
667,16.0,34.0,2.05
668,16.0,35.0,1.4
669,16.0,36.0,2.3
670,16.0,37.0,0.85
671,16.0,38.0,1.15
672,16.0,40.0,2.1
673,17.0,0.0,3.5
674,17.0,1.0,4.0
675,17.0,2.0,4.0
676,17.0,3.0,3.5
677,17.0,4.0,4.0
678,17.0,5.0,3.0
679,17.0,6.0,3.0
680,17.0,7.0,2.5
681,17.0,8.0,4.0
682,17.0,9.0,4.0
683,17.0,10.0,3.5
684,17.0,11.0,3.0
685,17.0,12.0,4.5
686,17.0,13.0,3.0
687,17.0,14.0,3.0
688,17.0,15.0,3.4
689,17.0,17.0,3.25
690,17.0,18.0,2.9
691,17.0,19.0,3.0
692,17.0,20.0,2.75
693,17.0,21.0,3.4
694,17.0,22.0,3.95
695,17.0,23.0,3.55
696,17.0,24.0,4.0
697,17.0,25.0,3.4
698,17.0,26.0,3.2
699,17.0,27.0,3.75
700,17.0,28.0,3.25
701,17.0,29.0,3.15
702,17.0,30.0,2.5
703,17.0,31.0,2.65
704,17.0,32.0,3.35
705,17.0,33.0,3.5
706,17.0,34.0,3.35
707,17.0,35.0,2.95
708,17.0,36.0,2.8
709,17.0,37.0,3.4
710,17.0,38.0,2.7
711,17.0,39.0,3.75
712,17.0,40.0,3.15
713,17.0,41.0,2.65
714,18.0,0.0,4.0
715,18.0,1.0,3.5
716,18.0,2.0,4.5
717,18.0,3.0,3.5
718,18.0,4.0,3.5
719,18.0,6.0,3.0
720,18.0,7.0,2.75
721,18.0,8.0,4.0
722,18.0,9.0,4.0
723,18.0,10.0,3.0
724,18.0,11.0,2.5
725,18.0,12.0,4.5
726,18.0,13.0,3.5
727,18.0,14.0,3.5
728,18.0,15.0,3.5
729,18.0,17.0,3.65
730,18.0,18.0,2.75
731,18.0,19.0,3.0
732,18.0,20.0,3.0
733,18.0,21.0,3.0
734,18.0,22.0,3.55
735,18.0,23.0,3.15
736,18.0,24.0,3.9
737,18.0,25.0,3.95
738,18.0,26.0,3.7
739,18.0,27.0,3.9
740,18.0,28.0,2.75
741,18.0,29.0,2.65
742,18.0,30.0,3.0
743,18.0,31.0,3.0
744,18.0,32.0,3.7
745,18.0,33.0,4.0
746,18.0,34.0,3.2
747,18.0,35.0,2.9
748,18.0,36.0,2.8
749,18.0,37.0,4.2
750,18.0,38.0,2.85
751,18.0,39.0,3.5
752,18.0,40.0,3.65
753,18.0,41.0,2.5
754,19.0,0.0,3.0
755,19.0,1.0,3.5
756,19.0,2.0,4.0
757,19.0,3.0,3.5
758,19.0,4.0,3.5
759,19.0,5.0,2.5
760,19.0,6.0,2.5
761,19.0,7.0,2.7
762,19.0,8.0,3.5
763,19.0,9.0,3.5
764,19.0,10.0,3.0
765,19.0,11.0,3.0
766,19.0,12.0,4.0
767,19.0,13.0,2.5
768,19.0,14.0,3.0
769,19.0,15.0,3.65
770,19.0,17.0,3.9
771,19.0,18.0,3.0
772,19.0,19.0,3.25
773,19.0,20.0,3.15
774,19.0,21.0,3.75
775,19.0,22.0,2.45
776,19.0,23.0,2.95
777,19.0,24.0,3.45
778,19.0,25.0,3.7
779,19.0,26.0,3.55
780,19.0,27.0,2.9
781,19.0,28.0,2.15
782,19.0,29.0,3.5
783,19.0,30.0,2.75
784,19.0,31.0,3.0
785,19.0,32.0,3.7
786,19.0,33.0,2.8
787,19.0,34.0,3.1
788,19.0,35.0,2.25
789,19.0,36.0,3.35
790,19.0,37.0,0.55
791,19.0,38.0,2.95
792,19.0,39.0,3.75
793,19.0,40.0,3.05
794,19.0,41.0,3.65
795,20.0,0.0,3.5
796,20.0,1.0,3.0
797,20.0,2.0,4.0
798,20.0,3.0,4.5
799,20.0,4.0,3.5
800,20.0,6.0,3.0
801,20.0,7.0,3.0
802,20.0,8.0,4.5
803,20.0,9.0,4.0
804,20.0,10.0,3.5
805,20.0,11.0,3.5
